solarSystemName,SolarSystemID,constellationID,regionID,wormholeClass,wormholeEffect,statics
J055520,31000001,21000334,11000033,14,Red Giant,"Z647, D382, O477, Y683, N062, R474"
J110145,31000002,21000334,11000033,15,Cataclysmic Variable,"Z647, D382, O477, Y683, N062, R474"
J164710,31000003,21000334,11000033,16,Magnetar,"Z647, D382, O477, Y683, N062, R474"
J200727,31000004,21000334,11000033,17,Pulsar,"Z647, D382, O477, Y683, N062, R474"
Thera,31000005,21000324,11000031,12,,"Q063, V898, E587"
J174618,31000006,21000334,11000033,18,Wolf-Rayet Star,"Z647, D382, O477, Y683, N062, R474"
J105443,31000007,21000311,11000001,1,,Z060
J100744,31000008,21000311,11000001,1,Cataclysmic Variable,Z060
J225046,31000009,21000311,11000001,1,,Z060
J160837,31000010,21000311,11000001,1,,Z060
J114700,31000011,21000311,11000001,1,,Z060
J134914,31000012,21000311,11000001,1,,Z060
J102655,31000013,21000312,11000001,1,,Z060
J134312,31000014,21000312,11000001,1,Magnetar,Z060
J205818,31000015,21000312,11000001,1,,Z060
J113434,31000016,21000312,11000001,1,,Z060
J105711,31000017,21000312,11000001,1,Cataclysmic Variable,Z060
J164218,31000018,21000312,11000001,1,,Z060
J154535,31000019,21000312,11000001,1,Black Hole,Z060
J111301,31000020,21000312,11000001,1,Cataclysmic Variable,Z060
J135038,31000021,21000312,11000001,1,,Z060
J121358,31000022,21000312,11000001,1,,Z060
J222914,31000023,21000312,11000001,1,Pulsar,Z060
J155429,31000024,21000312,11000001,1,,Z060
J204640,31000025,21000313,11000001,1,Black Hole,Z060
J162604,31000026,21000313,11000001,1,,Z060
J164807,31000027,21000313,11000001,1,,Z060
J233317,31000028,21000313,11000001,1,Wolf-Rayet Star,Z060
J155023,31000029,21000313,11000001,1,,Z060
J112628,31000030,21000313,11000001,1,Wolf-Rayet Star,Z060
J153001,31000031,21000313,11000001,1,,Z060
J143204,31000032,21000313,11000001,1,,Z060
J101729,31000033,21000313,11000001,1,,Z060
J221203,31000034,21000313,11000001,1,Black Hole,Z060
J125428,31000035,21000314,11000001,1,,J244
J131854,31000036,21000314,11000001,1,Black Hole,J244
J160534,31000037,21000314,11000001,1,,J244
J144855,31000038,21000314,11000001,1,,J244
J101453,31000039,21000314,11000001,1,,J244
J144913,31000040,21000314,11000001,1,,J244
J144530,31000041,21000314,11000001,1,,J244
J135411,31000042,21000314,11000001,1,Magnetar,J244
J125713,31000043,21000314,11000001,1,,J244
J105521,31000044,21000314,11000001,1,Red Giant,J244
J224324,31000045,21000315,11000001,1,,J244
J163203,31000046,21000315,11000001,1,Cataclysmic Variable,J244
